id,cpu_request,mem_request,inter_arrival_us,life_time_us,priority
clusterdata_2019_a:382719291754:6,0.003082275390625,0.003177642822265625,1,37000000,0
clusterdata_2019_a:379548394120:130,0.007659912109375,0.0012149810791015625,1,456000000,0
clusterdata_2019_a:382240503023:1399,0.002025604248046875,0.003070831298828125,1,297000000,0
clusterdata_2019_a:393584096491:0,0.029571533203125,0.0038909912109375,3868,245000000,0
clusterdata_2019_a:380680513215:46,0.00035190582275390625,0.0018711090087890625,1,1960000000,0
clusterdata_2019_a:395937803118:3103,0.03387451171875,0.0155487060546875,1,226000000,0
clusterdata_2019_a:380129217821:700,0.0145263671875,0.007598876953125,1,52000000,0
clusterdata_2019_a:400309598198:10,0.03961181640625,0.00539398193359375,1,646000000,200
clusterdata_2019_a:385560146373:264,0.0306396484375,0.0072174072265625,1,361000000,0
clusterdata_2019_a:383151174821:123,0.00395965576171875,0.0125885009765625,1,56000000,0
clusterdata_2019_a:375598181133:45,0.0094146728515625,0.002025604248046875,1,138000000,0
clusterdata_2019_a:384925408775:18598,0.0129547119140625,0.015625,0,24501000000,105
clusterdata_2019_a:383329709372:98,0.008544921875,0.0101470947265625,1,170000000,0
clusterdata_2019_a:381307661692:67291,0.00566864013671875,0.00262451171875,1,48519000000,0
clusterdata_2019_a:399178133163:152,0.002994537353515625,0.003177642822265625,1,68000000,0
clusterdata_2019_a:375087131239:0,0.0129547119140625,0.01434326171875,175476,767000000,0
clusterdata_2019_a:374780787758:1711,0.0081024169921875,0.01171875,33701,9173000000,105
clusterdata_2019_a:396223580934:1983,0.006866455078125,0.00650787353515625,1,713000000,0
clusterdata_2019_a:397854821273:2479,0.006072998046875,0.00650787353515625,1,33000000,0
clusterdata_2019_a:380838918137:1704,0.003696441650390625,0.00193023681640625,1,25326000000,0
clusterdata_2019_a:383477086439:825,0.0097198486328125,0.0022125244140625,1,6485000000,0
clusterdata_2019_a:397248451699:387,0.0325927734375,0.01776123046875,1,53000000,0
clusterdata_2019_a:398928170763:0,0.029937744140625,0.0045013427734375,337231,129000000,0
